"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1198","Should navigation in site of Playwright and search documentation","firefox","2026-08-19","failed","2026-08-19","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","82","It should return 201 when performing a POST(Sucess)","firefox","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","84","It should validate the Delete method (Sucess 200/204)","Mobile Safari","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","218","It should return 404 when attempting a Get on an non-existent resource","chromium","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","19","It should validate Resource not found returning 404","chromium","2026-08-19","passed","2026-08-19","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","543","get started link","chromium","2026-08-19","passed","2026-08-19","","e2e/example.spec.js","",""
"","19","It should validate Resource not found returning 404","Mobile Safari","2026-08-19","passed","2026-08-19","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","29","It should return 404 when attempting a Get on an non-existent resource","webkit","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","159","It should return 400 when attempting a Get on an non-existent resource","firefox","2026-08-19","passed","2026-08-19","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","80","It should validate the Delete method (Sucess 200/204)","chromium","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","83","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","484","Should navigation in site of Playwright and search documentation","webkit","2026-08-19","failed","2026-08-19","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","3864","has title","webkit","2026-08-19","passed","2026-08-19","","e2e/example.spec.js","",""
"","270","It should validate Non-existent route returning 404","chromium","2026-08-19","passed","2026-08-19","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","21","It should validate Resource not found returning 404","webkit","2026-08-19","passed","2026-08-19","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","427","Should show error message when API fails @mock","firefox","2026-08-19","passed","2026-08-19","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","629","Should display mocked pokemon on fron-end","webkit","2026-08-19","passed","2026-08-19","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","93","It should return 201 when performing a POST(Sucess)","webkit","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","20","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1162","Should validate Charizard data across layers","firefox","2026-08-19","failed","2026-08-19","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","32","It should return 404 when attempting a Get on an non-existent resource","firefox","2026-08-19","passed","2026-08-19","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","229","It should return 400 when attempting a Get on an non-existent resource","chromium","2026-08-19","passed","2026-08-19","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
