"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","61","It should validate 404 error in case of an invalid payload (Theoretical Example)","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","113","Should show error message when API fails @mock","chromium","Tue May 26 15:25:04 UTC 2026","passed","Tue May 26 15:25:04 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","32","It should validate Resource not found returning 404","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","130","Should show error message when API fails @mock","Mobile Safari","Tue May 26 15:26:23 UTC 2026","passed","Tue May 26 15:26:24 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","57","It should return 404 when attempting a Get on an non-existent resource","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","155","Should navigation in site of Playwright and search documentation","chromium","Tue May 26 15:25:02 UTC 2026","failed","Tue May 26 15:25:02 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","131","It should return 400 when attempting a Get on an non-existent resource","webkit","Tue May 26 15:25:42 UTC 2026","passed","Tue May 26 15:25:43 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","63","It should validate the Delete method (Sucess 200/204)","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","64","It should return 404 when performing a POST(Sucess)","webkit","Tue May 26 15:25:42 UTC 2026","passed","Tue May 26 15:25:42 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","705","Should show error message when API fails @mock","webkit","Tue May 26 15:26:06 UTC 2026","passed","Tue May 26 15:26:07 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","576","has title","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:50 UTC 2026","","e2e/example.spec.js","",""
"","385","Should show error message when API fails @mock","firefox","Tue May 26 15:25:40 UTC 2026","passed","Tue May 26 15:25:40 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","104","It should validate Non-existent route returning 404","Mobile Safari","Tue May 26 15:26:08 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","129","It should return 201 when performing a POST(Sucess)","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","701","get started link","Mobile Safari","Tue May 26 15:26:10 UTC 2026","passed","Tue May 26 15:26:11 UTC 2026","","e2e/example.spec.js","",""
"","32","It should validate Invalid user ID returning 404","webkit","Tue May 26 15:25:42 UTC 2026","passed","Tue May 26 15:25:42 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","435","Should validate Charizard data across layers","webkit","Tue May 26 15:25:54 UTC 2026","failed","Tue May 26 15:25:54 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","81","Should validate the datas of Pikachu with success","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:06 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","63","It should validate the Delete method (Sucess 200/204)","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","34","It should validate Invalid user ID returning 404","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","196","It should validate Non-existent route returning 404","chromium","Tue May 26 15:24:48 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","4687","has title","webkit","Tue May 26 15:25:43 UTC 2026","passed","Tue May 26 15:25:47 UTC 2026","","e2e/example.spec.js","",""
"","682","get started link","chromium","Tue May 26 15:24:51 UTC 2026","passed","Tue May 26 15:24:51 UTC 2026","","e2e/example.spec.js","",""
"","1369","has title","firefox","Tue May 26 15:25:06 UTC 2026","passed","Tue May 26 15:25:07 UTC 2026","","e2e/example.spec.js","",""
"","1174","Should display mocked pokemon on fron-end","firefox","Tue May 26 15:25:38 UTC 2026","passed","Tue May 26 15:25:39 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","64","It should return 201 when performing a POST(Sucess)","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","40","It should validate Invalid user ID returning 404","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","65","It should return 404 when performing a POST(Sucess)","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","62","It should validate 404 error in case of an invalid payload (Theoretical Example)","webkit","Tue May 26 15:25:42 UTC 2026","passed","Tue May 26 15:25:42 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","154","Should display mocked pokemon on fron-end","Mobile Safari","Tue May 26 15:26:23 UTC 2026","passed","Tue May 26 15:26:23 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","550","Should display mocked pokemon on fron-end","webkit","Tue May 26 15:26:05 UTC 2026","passed","Tue May 26 15:26:06 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","33","It should validate Resource not found returning 404","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","61","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","2767","get started link","webkit","Tue May 26 15:25:48 UTC 2026","passed","Tue May 26 15:25:51 UTC 2026","","e2e/example.spec.js","",""
"","63","It should validate the Delete method (Sucess 200/204)","webkit","Tue May 26 15:25:42 UTC 2026","passed","Tue May 26 15:25:42 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","43","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1033","get started link","firefox","Tue May 26 15:25:08 UTC 2026","passed","Tue May 26 15:25:09 UTC 2026","","e2e/example.spec.js","",""
"","63","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1207","Should navigation in site of Playwright and search documentation","firefox","Tue May 26 15:25:35 UTC 2026","failed","Tue May 26 15:25:36 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","35","It should validate Invalid user ID returning 404","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","2391","Should validate Charizard data across layers","firefox","Tue May 26 15:25:14 UTC 2026","failed","Tue May 26 15:25:17 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","82","Should validate the datas of Pikachu with success","webkit","Tue May 26 15:25:42 UTC 2026","passed","Tue May 26 15:25:42 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","133","It should return 404 when attempting a Get on an non-existent resource","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","31","It should validate Resource not found returning 404","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","242","Should check contract of PokeApi","Mobile Safari","Tue May 26 15:26:18 UTC 2026","failed","Tue May 26 15:26:18 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","105","It should validate Non-existent route returning 404","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","109","It should validate Non-existent route returning 404","webkit","Tue May 26 15:25:42 UTC 2026","passed","Tue May 26 15:25:42 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","83","Should validate the datas of Pikachu with success","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:09 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","568","has title","Mobile Safari","Tue May 26 15:26:09 UTC 2026","passed","Tue May 26 15:26:10 UTC 2026","","e2e/example.spec.js","",""
"","406","Should navigation in site of Playwright and search documentation","webkit","Tue May 26 15:26:04 UTC 2026","failed","Tue May 26 15:26:04 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","90","It should return 400 when attempting a Get on an non-existent resource","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","144","Should display mocked pokemon on fron-end","chromium","Tue May 26 15:25:03 UTC 2026","passed","Tue May 26 15:25:04 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","63","It should return 404 when performing a POST(Sucess)","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","63","It should validate the Delete method (Sucess 200/204)","firefox","Tue May 26 15:25:05 UTC 2026","passed","Tue May 26 15:25:05 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","102","Should validate the datas of Pikachu with success","chromium","Tue May 26 15:24:49 UTC 2026","passed","Tue May 26 15:24:49 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
