"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1006","get started link","firefox","Thu Jul 09 17:23:17 UTC 2026","passed","Thu Jul 09 17:23:18 UTC 2026","","e2e/example.spec.js","",""
"","23","It should return 201 when performing a POST(Sucess)","webkit","Thu Jul 09 17:23:50 UTC 2026","passed","Thu Jul 09 17:23:50 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","477","has title","Mobile Safari","Thu Jul 09 17:24:15 UTC 2026","passed","Thu Jul 09 17:24:15 UTC 2026","","e2e/example.spec.js","",""
"","1139","Should display mocked pokemon on fron-end","firefox","Thu Jul 09 17:23:47 UTC 2026","passed","Thu Jul 09 17:23:48 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","21","It should validate Invalid user ID returning 404","webkit","Thu Jul 09 17:23:50 UTC 2026","passed","Thu Jul 09 17:23:50 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","21","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Thu Jul 09 17:24:14 UTC 2026","passed","Thu Jul 09 17:24:14 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","121","Should show error message when API fails @mock","Mobile Safari","Thu Jul 09 17:24:29 UTC 2026","passed","Thu Jul 09 17:24:29 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","566","get started link","chromium","Thu Jul 09 17:23:01 UTC 2026","passed","Thu Jul 09 17:23:01 UTC 2026","","e2e/example.spec.js","",""
"","21","It should validate Invalid user ID returning 404","firefox","Thu Jul 09 17:23:15 UTC 2026","passed","Thu Jul 09 17:23:15 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","26","It should return 201 when performing a POST(Sucess)","Mobile Safari","Thu Jul 09 17:24:14 UTC 2026","passed","Thu Jul 09 17:24:14 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","67","It should validate Non-existent route returning 404","Mobile Safari","Thu Jul 09 17:24:14 UTC 2026","passed","Thu Jul 09 17:24:14 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","63","It should validate Non-existent route returning 404","firefox","Thu Jul 09 17:23:15 UTC 2026","passed","Thu Jul 09 17:23:15 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
