"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","88","It should validate the Delete method (Sucess 200/204)","webkit","Tue May 05 16:31:08 UTC 2026","passed","Tue May 05 16:31:08 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","432","Should validate Charizard data across layers","webkit","Tue May 05 16:31:17 UTC 2026","failed","Tue May 05 16:31:17 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","246","It should return 201 when performing a POST(Sucess)","chromium","Tue May 05 16:30:17 UTC 2026","passed","Tue May 05 16:30:17 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","34","Should validate the datas of Pikachu with success","firefox","Tue May 05 16:30:33 UTC 2026","passed","Tue May 05 16:30:33 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","1120","Should validate Charizard data across layers","firefox","Tue May 05 16:30:42 UTC 2026","failed","Tue May 05 16:30:43 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","25","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Tue May 05 16:31:31 UTC 2026","passed","Tue May 05 16:31:31 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","249","It should return 404 when attempting a Get on an non-existent resource","chromium","Tue May 05 16:30:17 UTC 2026","passed","Tue May 05 16:30:18 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","85","It should return 404 when performing a POST(Sucess)","Mobile Safari","Tue May 05 16:31:32 UTC 2026","passed","Tue May 05 16:31:32 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","875","get started link","firefox","Tue May 05 16:30:35 UTC 2026","passed","Tue May 05 16:30:36 UTC 2026","","e2e/example.spec.js","",""
"","171","Should navigation in site of Playwright and search documentation","chromium","Tue May 05 16:30:30 UTC 2026","failed","Tue May 05 16:30:30 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","16","It should validate Invalid user ID returning 404","webkit","Tue May 05 16:31:08 UTC 2026","passed","Tue May 05 16:31:08 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","18","It should validate Invalid user ID returning 404","chromium","Tue May 05 16:30:17 UTC 2026","passed","Tue May 05 16:30:17 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","415","has title","chromium","Tue May 05 16:30:18 UTC 2026","passed","Tue May 05 16:30:18 UTC 2026","","e2e/example.spec.js","",""
"","232","Should validate Charizard data across layers","chromium","Tue May 05 16:30:22 UTC 2026","failed","Tue May 05 16:30:22 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","527","get started link","chromium","Tue May 05 16:30:19 UTC 2026","passed","Tue May 05 16:30:19 UTC 2026","","e2e/example.spec.js","",""
"","13","It should validate Resource not found returning 404","Mobile Safari","Tue May 05 16:31:31 UTC 2026","passed","Tue May 05 16:31:31 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","2530","get started link","webkit","Tue May 05 16:31:11 UTC 2026","passed","Tue May 05 16:31:14 UTC 2026","","e2e/example.spec.js","",""
"","31","Should validate the datas of Pikachu with success","Mobile Safari","Tue May 05 16:31:32 UTC 2026","passed","Tue May 05 16:31:32 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","87","It should return 201 when performing a POST(Sucess)","firefox","Tue May 05 16:30:33 UTC 2026","passed","Tue May 05 16:30:33 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
