"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","924","get started link","firefox","Mon May 04 16:47:37 UTC 2026","passed","Mon May 04 16:47:38 UTC 2026","","e2e/example.spec.js","",""
"","79","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Mon May 04 16:48:34 UTC 2026","passed","Mon May 04 16:48:34 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","190","Should check contract of PokeApi","chromium","Mon May 04 16:47:28 UTC 2026","failed","Mon May 04 16:47:28 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","90","It should validate the Delete method (Sucess 200/204)","chromium","Mon May 04 16:47:19 UTC 2026","passed","Mon May 04 16:47:19 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","545","Should display mocked pokemon on fron-end","webkit","Mon May 04 16:48:30 UTC 2026","passed","Mon May 04 16:48:31 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","2760","get started link","webkit","Mon May 04 16:48:13 UTC 2026","passed","Mon May 04 16:48:16 UTC 2026","","e2e/example.spec.js","",""
"","146","Should display mocked pokemon on fron-end","Mobile Safari","Mon May 04 16:48:47 UTC 2026","passed","Mon May 04 16:48:47 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","52","It should validate Non-existent route returning 404","Mobile Safari","Mon May 04 16:48:33 UTC 2026","passed","Mon May 04 16:48:33 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","134","It should return 400 when attempting a Get on an non-existent resource","webkit","Mon May 04 16:48:10 UTC 2026","passed","Mon May 04 16:48:10 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","14","It should validate Resource not found returning 404","webkit","Mon May 04 16:48:09 UTC 2026","passed","Mon May 04 16:48:09 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","35","Should validate the datas of Pikachu with success","webkit","Mon May 04 16:48:10 UTC 2026","passed","Mon May 04 16:48:10 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","131","It should return 400 when attempting a Get on an non-existent resource","Mobile Safari","Mon May 04 16:48:34 UTC 2026","passed","Mon May 04 16:48:34 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","736","Should show error message when API fails @mock","webkit","Mon May 04 16:48:31 UTC 2026","passed","Mon May 04 16:48:32 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","466","Should check contract of PokeApi","webkit","Mon May 04 16:48:24 UTC 2026","failed","Mon May 04 16:48:24 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","81","It should return 201 when performing a POST(Sucess)","webkit","Mon May 04 16:48:09 UTC 2026","passed","Mon May 04 16:48:09 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","2804","has title","webkit","Mon May 04 16:48:10 UTC 2026","passed","Mon May 04 16:48:13 UTC 2026","","e2e/example.spec.js","",""
"","1100","Should check contract of PokeApi","firefox","Mon May 04 16:47:53 UTC 2026","failed","Mon May 04 16:47:54 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","414","Should show error message when API fails @mock","firefox","Mon May 04 16:48:07 UTC 2026","passed","Mon May 04 16:48:07 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","80","It should validate the Delete method (Sucess 200/204)","firefox","Mon May 04 16:47:34 UTC 2026","passed","Mon May 04 16:47:35 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","116","Should show error message when API fails @mock","chromium","Mon May 04 16:47:33 UTC 2026","passed","Mon May 04 16:47:33 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","79","It should return 404 when performing a POST(Sucess)","Mobile Safari","Mon May 04 16:48:34 UTC 2026","passed","Mon May 04 16:48:34 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","55","Should validate the datas of Pikachu with success","chromium","Mon May 04 16:47:19 UTC 2026","passed","Mon May 04 16:47:19 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","603","has title","chromium","Mon May 04 16:47:20 UTC 2026","passed","Mon May 04 16:47:20 UTC 2026","","e2e/example.spec.js","",""
"","170","It should return 400 when attempting a Get on an non-existent resource","chromium","Mon May 04 16:47:19 UTC 2026","passed","Mon May 04 16:47:20 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
