"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1094","Should display mocked pokemon on fron-end","firefox","Tue May 05 13:54:48 UTC 2026","passed","Tue May 05 13:54:49 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","101","It should validate Non-existent route returning 404","webkit","Tue May 05 13:54:51 UTC 2026","passed","Tue May 05 13:54:52 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","21","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Tue May 05 13:55:16 UTC 2026","passed","Tue May 05 13:55:16 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","35","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","Tue May 05 13:54:00 UTC 2026","passed","Tue May 05 13:54:00 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","456","has title","Mobile Safari","Tue May 05 13:55:16 UTC 2026","passed","Tue May 05 13:55:17 UTC 2026","","e2e/example.spec.js","",""
"","88","It should validate Invalid user ID returning 404","webkit","Tue May 05 13:54:52 UTC 2026","passed","Tue May 05 13:54:52 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","54","It should validate the Delete method (Sucess 200/204)","webkit","Tue May 05 13:54:52 UTC 2026","passed","Tue May 05 13:54:52 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","74","It should validate Non-existent route returning 404","Mobile Safari","Tue May 05 13:55:16 UTC 2026","passed","Tue May 05 13:55:16 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","556","get started link","Mobile Safari","Tue May 05 13:55:17 UTC 2026","passed","Tue May 05 13:55:18 UTC 2026","","e2e/example.spec.js","",""
"","25","It should return 404 when performing a POST(Sucess)","Mobile Safari","Tue May 05 13:55:16 UTC 2026","passed","Tue May 05 13:55:16 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
