"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","630","Should display mocked pokemon on fron-end","webkit","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","518","Should check contract of PokeApi","webkit","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","446","has title","chromium","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","558","get started link","chromium","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","89","It should return 404 when performing a POST(Sucess)","firefox","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","120","Should show error message when API fails @mock","Mobile Safari","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","32","Should validate the datas of Pikachu with success","Mobile Safari","2026-09-04","passed","2026-09-04","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","19","It should validate Resource not found returning 404","Mobile Safari","2026-09-04","passed","2026-09-04","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","74","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","516","get started link","Mobile Safari","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","481","Should validate Charizard data across layers","webkit","2026-09-04","failed","2026-09-04","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","54","Should validate the datas of Pikachu with success","chromium","2026-09-04","passed","2026-09-04","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","176","Should display mocked pokemon on fron-end","Mobile Safari","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","16","It should validate Invalid user ID returning 404","webkit","2026-09-04","passed","2026-09-04","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","413","Should show error message when API fails @mock","firefox","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","924","get started link","firefox","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","239","Should check contract of PokeApi","Mobile Safari","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","1138","Should display mocked pokemon on fron-end","firefox","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","176","Should navigation in site of Playwright and search documentation","chromium","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","75","It should validate the Delete method (Sucess 200/204)","webkit","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","464","Should navigation in site of Playwright and search documentation","webkit","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","119","Should show error message when API fails @mock","chromium","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","168","Should display mocked pokemon on fron-end","chromium","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","114","It should return 400 when attempting a Get on an non-existent resource","firefox","2026-09-04","passed","2026-09-04","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","28","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","15","It should return 404 when attempting a Get on an non-existent resource","chromium","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","79","It should validate the Delete method (Sucess 200/204)","Mobile Safari","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1187","Should navigation in site of Playwright and search documentation","firefox","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","79","It should return 404 when performing a POST(Sucess)","chromium","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","180","Should validate Charizard data across layers","Mobile Safari","2026-09-04","failed","2026-09-04","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","77","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","78","It should validate the Delete method (Sucess 200/204)","chromium","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","199","It should return 201 when performing a POST(Sucess)","Mobile Safari","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1526","has title","firefox","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","25","It should validate Invalid user ID returning 404","chromium","2026-09-04","passed","2026-09-04","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","81","It should validate the Delete method (Sucess 200/204)","firefox","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","186","Should navigation in site of Playwright and search documentation","Mobile Safari","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","22","It should validate Invalid user ID returning 404","firefox","2026-09-04","passed","2026-09-04","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","913","Should show error message when API fails @mock","webkit","2026-09-04","passed","2026-09-04","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","1162","Should validate Charizard data across layers","firefox","2026-09-04","failed","2026-09-04","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","23","It should validate Resource not found returning 404","chromium","2026-09-04","passed","2026-09-04","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","251","It should return 400 when attempting a Get on an non-existent resource","webkit","2026-09-04","passed","2026-09-04","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","1260","Should check contract of PokeApi","firefox","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","454","has title","Mobile Safari","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","237","Should check contract of PokeApi","chromium","2026-09-04","failed","2026-09-04","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","2432","get started link","webkit","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","27","It should return 404 when attempting a Get on an non-existent resource","webkit","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","210","It should return 201 when performing a POST(Sucess)","chromium","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","3029","has title","webkit","2026-09-04","passed","2026-09-04","","e2e/example.spec.js","",""
"","82","It should return 201 when performing a POST(Sucess)","firefox","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","126","It should return 400 when attempting a Get on an non-existent resource","chromium","2026-09-04","passed","2026-09-04","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","76","It should validate 404 error in case of an invalid payload (Theoretical Example)","firefox","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","76","It should return 404 when performing a POST(Sucess)","Mobile Safari","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","219","It should return 400 when attempting a Get on an non-existent resource","Mobile Safari","2026-09-04","passed","2026-09-04","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","28","It should return 404 when attempting a Get on an non-existent resource","firefox","2026-09-04","passed","2026-09-04","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","22","It should validate Resource not found returning 404","firefox","2026-09-04","passed","2026-09-04","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
