"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","It should validate the Delete method (Sucess 200/204)","firefox","2026-08-24","passed","2026-08-24","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","157","It should return 400 when attempting a Get on an non-existent resource","webkit","2026-08-24","passed","2026-08-24","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","1258","has title","firefox","2026-08-24","passed","2026-08-24","","e2e/example.spec.js","",""
"","21","It should validate Resource not found returning 404","chromium","2026-08-24","passed","2026-08-24","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","46","It should validate the Delete method (Sucess 200/204)","Mobile Safari","2026-08-24","passed","2026-08-24","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","70","Should validate the datas of Pikachu with success","chromium","2026-08-24","passed","2026-08-24","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","1830","get started link","webkit","2026-08-24","passed","2026-08-24","","e2e/example.spec.js","",""
"","452","Should check contract of PokeApi","webkit","2026-08-24","failed","2026-08-24","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","58","Should validate the datas of Pikachu with success","Mobile Safari","2026-08-24","passed","2026-08-24","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","841","get started link","firefox","2026-08-24","passed","2026-08-24","","e2e/example.spec.js","",""
"","1846","Should navigation in site of Playwright and search documentation","firefox","2026-08-24","failed","2026-08-24","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","1022","Should display mocked pokemon on fron-end","firefox","2026-08-24","passed","2026-08-24","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","182","Should navigation in site of Playwright and search documentation","Mobile Safari","2026-08-24","failed","2026-08-24","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","42","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","2026-08-24","passed","2026-08-24","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1121","Should check contract of PokeApi","firefox","2026-08-24","failed","2026-08-24","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","77","It should validate Non-existent route returning 404","Mobile Safari","2026-08-24","passed","2026-08-24","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
