"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","194","Should navigation in site of Playwright and search documentation","chromium","Mon Jul 13 17:13:20 UTC 2026","failed","Mon Jul 13 17:13:20 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","27","It should return 201 when performing a POST(Sucess)","firefox","Mon Jul 13 17:13:23 UTC 2026","passed","Mon Jul 13 17:13:23 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","17","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","Mon Jul 13 17:13:07 UTC 2026","passed","Mon Jul 13 17:13:07 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","516","get started link","chromium","Mon Jul 13 17:13:09 UTC 2026","passed","Mon Jul 13 17:13:10 UTC 2026","","e2e/example.spec.js","",""
"","478","Should navigation in site of Playwright and search documentation","webkit","Mon Jul 13 17:14:22 UTC 2026","failed","Mon Jul 13 17:14:22 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","46","Should validate the datas of Pikachu with success","Mobile Safari","Mon Jul 13 17:14:27 UTC 2026","passed","Mon Jul 13 17:14:27 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","16","It should validate Invalid user ID returning 404","firefox","Mon Jul 13 17:13:23 UTC 2026","passed","Mon Jul 13 17:13:23 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","22","It should return 404 when performing a POST(Sucess)","chromium","Mon Jul 13 17:13:07 UTC 2026","passed","Mon Jul 13 17:13:07 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","117","Should show error message when API fails @mock","Mobile Safari","Mon Jul 13 17:14:41 UTC 2026","passed","Mon Jul 13 17:14:41 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","28","It should return 201 when performing a POST(Sucess)","webkit","Mon Jul 13 17:13:58 UTC 2026","passed","Mon Jul 13 17:13:58 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","19","It should return 404 when performing a POST(Sucess)","webkit","Mon Jul 13 17:13:58 UTC 2026","passed","Mon Jul 13 17:13:58 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","169","It should return 400 when attempting a Get on an non-existent resource","Mobile Safari","Mon Jul 13 17:14:27 UTC 2026","passed","Mon Jul 13 17:14:27 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","23","It should validate the Delete method (Sucess 200/204)","chromium","Mon Jul 13 17:13:07 UTC 2026","passed","Mon Jul 13 17:13:07 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","2332","get started link","webkit","Mon Jul 13 17:14:06 UTC 2026","passed","Mon Jul 13 17:14:09 UTC 2026","","e2e/example.spec.js","",""
"","20","It should return 404 when performing a POST(Sucess)","firefox","Mon Jul 13 17:13:23 UTC 2026","passed","Mon Jul 13 17:13:23 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","15","It should return 404 when attempting a Get on an non-existent resource","webkit","Mon Jul 13 17:13:58 UTC 2026","passed","Mon Jul 13 17:13:58 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","14","It should validate Resource not found returning 404","Mobile Safari","Mon Jul 13 17:14:27 UTC 2026","passed","Mon Jul 13 17:14:27 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","173","Should display mocked pokemon on fron-end","Mobile Safari","Mon Jul 13 17:14:40 UTC 2026","passed","Mon Jul 13 17:14:41 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","25","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Mon Jul 13 17:14:27 UTC 2026","passed","Mon Jul 13 17:14:27 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","235","It should return 400 when attempting a Get on an non-existent resource","chromium","Mon Jul 13 17:13:07 UTC 2026","passed","Mon Jul 13 17:13:08 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","18","It should return 201 when performing a POST(Sucess)","Mobile Safari","Mon Jul 13 17:14:27 UTC 2026","passed","Mon Jul 13 17:14:27 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","18","It should validate the Delete method (Sucess 200/204)","Mobile Safari","Mon Jul 13 17:14:27 UTC 2026","passed","Mon Jul 13 17:14:27 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","560","has title","chromium","Mon Jul 13 17:13:08 UTC 2026","passed","Mon Jul 13 17:13:08 UTC 2026","","e2e/example.spec.js","",""
"","18","It should validate Resource not found returning 404","firefox","Mon Jul 13 17:13:23 UTC 2026","passed","Mon Jul 13 17:13:23 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","1169","Should validate Charizard data across layers","firefox","Mon Jul 13 17:13:31 UTC 2026","failed","Mon Jul 13 17:13:32 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","57","Should validate the datas of Pikachu with success","chromium","Mon Jul 13 17:13:07 UTC 2026","passed","Mon Jul 13 17:13:07 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","21","It should validate the Delete method (Sucess 200/204)","webkit","Mon Jul 13 17:13:58 UTC 2026","passed","Mon Jul 13 17:13:58 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","27","It should validate Invalid user ID returning 404","chromium","Mon Jul 13 17:13:07 UTC 2026","passed","Mon Jul 13 17:13:07 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","1275","has title","firefox","Mon Jul 13 17:13:24 UTC 2026","passed","Mon Jul 13 17:13:25 UTC 2026","","e2e/example.spec.js","",""
"","507","Should display mocked pokemon on fron-end","webkit","Mon Jul 13 17:14:23 UTC 2026","passed","Mon Jul 13 17:14:24 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","119","Should show error message when API fails @mock","chromium","Mon Jul 13 17:13:22 UTC 2026","passed","Mon Jul 13 17:13:22 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","478","has title","Mobile Safari","Mon Jul 13 17:14:27 UTC 2026","passed","Mon Jul 13 17:14:28 UTC 2026","","e2e/example.spec.js","",""
"","78","It should validate Non-existent route returning 404","chromium","Mon Jul 13 17:13:07 UTC 2026","passed","Mon Jul 13 17:13:07 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","161","Should display mocked pokemon on fron-end","chromium","Mon Jul 13 17:13:22 UTC 2026","passed","Mon Jul 13 17:13:22 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","22","It should validate the Delete method (Sucess 200/204)","firefox","Mon Jul 13 17:13:23 UTC 2026","passed","Mon Jul 13 17:13:23 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","447","Should validate Charizard data across layers","webkit","Mon Jul 13 17:14:12 UTC 2026","failed","Mon Jul 13 17:14:12 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","1182","Should check contract of PokeApi","firefox","Mon Jul 13 17:13:41 UTC 2026","failed","Mon Jul 13 17:13:42 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","176","Should navigation in site of Playwright and search documentation","Mobile Safari","Mon Jul 13 17:14:39 UTC 2026","failed","Mon Jul 13 17:14:39 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
