"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","422","Should validate Charizard data across layers","webkit","Fri Apr 24 16:06:43 UTC 2026","failed","Fri Apr 24 16:06:44 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","1133","Should validate Charizard data across layers","firefox","Fri Apr 24 16:06:09 UTC 2026","failed","Fri Apr 24 16:06:10 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","180","Should validate Charizard data across layers","chromium","Fri Apr 24 16:05:48 UTC 2026","failed","Fri Apr 24 16:05:48 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","108","It should validate Non-existent route returning 404","Mobile Safari","Fri Apr 24 16:06:57 UTC 2026","passed","Fri Apr 24 16:06:57 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","901","get started link","firefox","Fri Apr 24 16:06:02 UTC 2026","passed","Fri Apr 24 16:06:03 UTC 2026","","e2e/example.spec.js","",""
"","572","get started link","Mobile Safari","Fri Apr 24 16:06:58 UTC 2026","passed","Fri Apr 24 16:06:59 UTC 2026","","e2e/example.spec.js","",""
"","1720","get started link","webkit","Fri Apr 24 16:06:39 UTC 2026","passed","Fri Apr 24 16:06:40 UTC 2026","","e2e/example.spec.js","",""
"","181","It should validate Non-existent route returning 404","chromium","Fri Apr 24 16:05:43 UTC 2026","passed","Fri Apr 24 16:05:43 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","53","It should validate the Delete method (Sucess 200/204)","chromium","Fri Apr 24 16:05:43 UTC 2026","passed","Fri Apr 24 16:05:43 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","162","Should navigation in site of Playwright and search documentation","chromium","Fri Apr 24 16:05:56 UTC 2026","failed","Fri Apr 24 16:05:57 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","112","Should show error message when API fails @mock","Mobile Safari","Fri Apr 24 16:07:11 UTC 2026","passed","Fri Apr 24 16:07:11 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","117","It should validate Non-existent route returning 404","firefox","Fri Apr 24 16:05:59 UTC 2026","passed","Fri Apr 24 16:05:59 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","230","Should check contract of PokeApi","chromium","Fri Apr 24 16:05:52 UTC 2026","failed","Fri Apr 24 16:05:53 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","41","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Fri Apr 24 16:06:57 UTC 2026","passed","Fri Apr 24 16:06:57 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","571","get started link","chromium","Fri Apr 24 16:05:45 UTC 2026","passed","Fri Apr 24 16:05:46 UTC 2026","","e2e/example.spec.js","",""
"","151","Should navigation in site of Playwright and search documentation","Mobile Safari","Fri Apr 24 16:07:09 UTC 2026","failed","Fri Apr 24 16:07:10 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","217","Should check contract of PokeApi","Mobile Safari","Fri Apr 24 16:07:05 UTC 2026","failed","Fri Apr 24 16:07:06 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","436","has title","chromium","Fri Apr 24 16:05:44 UTC 2026","passed","Fri Apr 24 16:05:44 UTC 2026","","e2e/example.spec.js","",""
"","149","Should validate Charizard data across layers","Mobile Safari","Fri Apr 24 16:07:01 UTC 2026","failed","Fri Apr 24 16:07:02 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","39","It should return 404 when attempting a Get on an non-existent resource","webkit","Fri Apr 24 16:06:34 UTC 2026","passed","Fri Apr 24 16:06:34 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","158","It should return 400 when attempting a Get on an non-existent resource","webkit","Fri Apr 24 16:06:34 UTC 2026","passed","Fri Apr 24 16:06:34 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","147","Should display mocked pokemon on fron-end","chromium","Fri Apr 24 16:05:58 UTC 2026","passed","Fri Apr 24 16:05:58 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","52","It should validate 404 error in case of an invalid payload (Theoretical Example)","webkit","Fri Apr 24 16:06:34 UTC 2026","passed","Fri Apr 24 16:06:34 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","54","It should return 201 when performing a POST(Sucess)","Mobile Safari","Fri Apr 24 16:06:57 UTC 2026","passed","Fri Apr 24 16:06:57 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
