"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","146","Should display mocked pokemon on fron-end","Mobile Safari","Mon Apr 06 19:03:38 UTC 2026","passed","Mon Apr 06 19:03:38 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","78","It should validate the Delete method (Sucess 200/204)","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","32","Should validate the datas of Pikachu with success","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","24","It should validate Invalid user ID returning 404","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","1062","Should display mocked pokemon on fron-end","firefox","Mon Apr 06 19:02:57 UTC 2026","passed","Mon Apr 06 19:02:58 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","76","It should return 201 when performing a POST(Sucess)","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","220","It should return 404 when attempting a Get on an non-existent resource","chromium","Mon Apr 06 19:02:09 UTC 2026","passed","Mon Apr 06 19:02:10 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","207","It should return 201 when performing a POST(Sucess)","chromium","Mon Apr 06 19:02:09 UTC 2026","passed","Mon Apr 06 19:02:09 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","28","It should return 404 when attempting a Get on an non-existent resource","webkit","Mon Apr 06 19:03:01 UTC 2026","passed","Mon Apr 06 19:03:01 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","53","It should validate Non-existent route returning 404","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","1292","has title","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:28 UTC 2026","","example.spec.js","",""
"","1208","Should validate Charizard data across layers","firefox","Mon Apr 06 19:02:34 UTC 2026","failed","Mon Apr 06 19:02:35 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","31","Should validate the datas of Pikachu with success","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","264","It should validate Non-existent route returning 404","chromium","Mon Apr 06 19:02:09 UTC 2026","passed","Mon Apr 06 19:02:09 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","157","Should validate Charizard data across layers","Mobile Safari","Mon Apr 06 19:03:29 UTC 2026","failed","Mon Apr 06 19:03:29 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","14","It should validate Resource not found returning 404","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","1172","Should navigation in site of Playwright and search documentation","firefox","Mon Apr 06 19:02:54 UTC 2026","failed","Mon Apr 06 19:02:55 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","536","get started link","Mobile Safari","Mon Apr 06 19:03:26 UTC 2026","passed","Mon Apr 06 19:03:26 UTC 2026","","example.spec.js","",""
"","157","Should navigation in site of Playwright and search documentation","Mobile Safari","Mon Apr 06 19:03:37 UTC 2026","failed","Mon Apr 06 19:03:37 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","173","Should validate Charizard data across layers","chromium","Mon Apr 06 19:02:15 UTC 2026","failed","Mon Apr 06 19:02:15 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","17","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","1518","get started link","webkit","Mon Apr 06 19:03:05 UTC 2026","passed","Mon Apr 06 19:03:07 UTC 2026","","example.spec.js","",""
"","75","It should validate the Delete method (Sucess 200/204)","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","56","It should validate Non-existent route returning 404","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","191","Should check contract of PokeApi","Mobile Safari","Mon Apr 06 19:03:33 UTC 2026","failed","Mon Apr 06 19:03:33 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","956","get started link","firefox","Mon Apr 06 19:02:28 UTC 2026","passed","Mon Apr 06 19:02:29 UTC 2026","","example.spec.js","",""
"","750","Should show error message when API fails @mock","webkit","Mon Apr 06 19:03:22 UTC 2026","passed","Mon Apr 06 19:03:23 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","75","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","335","has title","chromium","Mon Apr 06 19:02:10 UTC 2026","passed","Mon Apr 06 19:02:10 UTC 2026","","example.spec.js","",""
"","23","It should validate Invalid user ID returning 404","webkit","Mon Apr 06 19:03:00 UTC 2026","passed","Mon Apr 06 19:03:00 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","194","Should check contract of PokeApi","chromium","Mon Apr 06 19:02:19 UTC 2026","failed","Mon Apr 06 19:02:19 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","190","It should return 400 when attempting a Get on an non-existent resource","chromium","Mon Apr 06 19:02:10 UTC 2026","passed","Mon Apr 06 19:02:10 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","385","Should show error message when API fails @mock","firefox","Mon Apr 06 19:02:58 UTC 2026","passed","Mon Apr 06 19:02:59 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","456","Should check contract of PokeApi","webkit","Mon Apr 06 19:03:15 UTC 2026","failed","Mon Apr 06 19:03:16 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","55","It should validate Non-existent route returning 404","webkit","Mon Apr 06 19:03:00 UTC 2026","passed","Mon Apr 06 19:03:00 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","546","Should display mocked pokemon on fron-end","webkit","Mon Apr 06 19:03:22 UTC 2026","passed","Mon Apr 06 19:03:22 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","115","Should show error message when API fails @mock","Mobile Safari","Mon Apr 06 19:03:38 UTC 2026","passed","Mon Apr 06 19:03:38 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","153","Should display mocked pokemon on fron-end","chromium","Mon Apr 06 19:02:24 UTC 2026","passed","Mon Apr 06 19:02:24 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","334","has title","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:26 UTC 2026","","example.spec.js","",""
"","16","It should validate Resource not found returning 404","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","74","It should validate 404 error in case of an invalid payload (Theoretical Example)","webkit","Mon Apr 06 19:03:01 UTC 2026","passed","Mon Apr 06 19:03:01 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","126","It should return 400 when attempting a Get on an non-existent resource","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","73","It should validate 404 error in case of an invalid payload (Theoretical Example)","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","76","It should return 404 when performing a POST(Sucess)","chromium","Mon Apr 06 19:02:10 UTC 2026","passed","Mon Apr 06 19:02:10 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","75","It should return 201 when performing a POST(Sucess)","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","128","It should return 400 when attempting a Get on an non-existent resource","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","102","Should validate the datas of Pikachu with success","chromium","Mon Apr 06 19:02:10 UTC 2026","passed","Mon Apr 06 19:02:10 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","198","It should return 400 when attempting a Get on an non-existent resource","webkit","Mon Apr 06 19:03:01 UTC 2026","passed","Mon Apr 06 19:03:01 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","21","It should validate Invalid user ID returning 404","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","154","Should navigation in site of Playwright and search documentation","chromium","Mon Apr 06 19:02:23 UTC 2026","failed","Mon Apr 06 19:02:23 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","220","It should validate Invalid user ID returning 404","chromium","Mon Apr 06 19:02:09 UTC 2026","passed","Mon Apr 06 19:02:09 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","1244","Should check contract of PokeApi","firefox","Mon Apr 06 19:02:44 UTC 2026","failed","Mon Apr 06 19:02:45 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","73","It should return 404 when performing a POST(Sucess)","Mobile Safari","Mon Apr 06 19:03:25 UTC 2026","passed","Mon Apr 06 19:03:25 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","72","It should return 404 when performing a POST(Sucess)","webkit","Mon Apr 06 19:03:01 UTC 2026","passed","Mon Apr 06 19:03:01 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","75","It should validate the Delete method (Sucess 200/204)","webkit","Mon Apr 06 19:03:01 UTC 2026","passed","Mon Apr 06 19:03:01 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","31","Should validate the datas of Pikachu with success","webkit","Mon Apr 06 19:03:01 UTC 2026","passed","Mon Apr 06 19:03:01 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","76","It should return 201 when performing a POST(Sucess)","webkit","Mon Apr 06 19:03:00 UTC 2026","passed","Mon Apr 06 19:03:01 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","86","It should validate the Delete method (Sucess 200/204)","chromium","Mon Apr 06 19:02:09 UTC 2026","passed","Mon Apr 06 19:02:09 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","29","It should validate Resource not found returning 404","chromium","Mon Apr 06 19:02:09 UTC 2026","passed","Mon Apr 06 19:02:09 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","424","Should navigation in site of Playwright and search documentation","webkit","Mon Apr 06 19:03:20 UTC 2026","failed","Mon Apr 06 19:03:20 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","76","It should return 404 when performing a POST(Sucess)","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","419","Should validate Charizard data across layers","webkit","Mon Apr 06 19:03:10 UTC 2026","failed","Mon Apr 06 19:03:11 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","27","It should return 404 when attempting a Get on an non-existent resource","firefox","Mon Apr 06 19:02:26 UTC 2026","passed","Mon Apr 06 19:02:26 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","73","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","Mon Apr 06 19:02:10 UTC 2026","passed","Mon Apr 06 19:02:10 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","3556","has title","webkit","Mon Apr 06 19:03:01 UTC 2026","passed","Mon Apr 06 19:03:05 UTC 2026","","example.spec.js","",""
"","522","get started link","chromium","Mon Apr 06 19:02:12 UTC 2026","passed","Mon Apr 06 19:02:12 UTC 2026","","example.spec.js","",""
"","113","Should show error message when API fails @mock","chromium","Mon Apr 06 19:02:24 UTC 2026","passed","Mon Apr 06 19:02:25 UTC 2026","Tests using mocks @mock","using_mocks.spec.js","",""
"","16","It should validate Resource not found returning 404","webkit","Mon Apr 06 19:03:00 UTC 2026","passed","Mon Apr 06 19:03:00 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
