"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14","It should validate Invalid user ID returning 404","firefox","Thu May 07 14:18:12 UTC 2026","passed","Thu May 07 14:18:12 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","74","It should return 404 when performing a POST(Sucess)","firefox","Thu May 07 14:18:12 UTC 2026","passed","Thu May 07 14:18:12 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","183","Should check contract of PokeApi","Mobile Safari","Thu May 07 14:19:17 UTC 2026","failed","Thu May 07 14:19:17 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","116","Should show error message when API fails @mock","Mobile Safari","Thu May 07 14:19:22 UTC 2026","passed","Thu May 07 14:19:22 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","422","Should validate Charizard data across layers","webkit","Thu May 07 14:18:54 UTC 2026","failed","Thu May 07 14:18:55 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","77","It should validate the Delete method (Sucess 200/204)","Mobile Safari","Thu May 07 14:19:09 UTC 2026","passed","Thu May 07 14:19:09 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1089","Should display mocked pokemon on fron-end","firefox","Thu May 07 14:18:43 UTC 2026","passed","Thu May 07 14:18:44 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","71","It should validate 404 error in case of an invalid payload (Theoretical Example)","webkit","Thu May 07 14:18:47 UTC 2026","passed","Thu May 07 14:18:47 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","597","has title","chromium","Thu May 07 14:17:57 UTC 2026","passed","Thu May 07 14:17:58 UTC 2026","","e2e/example.spec.js","",""
"","180","Should show error message when API fails @mock","chromium","Thu May 07 14:18:11 UTC 2026","passed","Thu May 07 14:18:11 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","1139","Should validate Charizard data across layers","firefox","Thu May 07 14:18:21 UTC 2026","failed","Thu May 07 14:18:22 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","77","It should validate the Delete method (Sucess 200/204)","chromium","Thu May 07 14:17:57 UTC 2026","passed","Thu May 07 14:17:57 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","13","It should validate Resource not found returning 404","webkit","Thu May 07 14:18:47 UTC 2026","passed","Thu May 07 14:18:47 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","696","get started link","chromium","Thu May 07 14:17:58 UTC 2026","passed","Thu May 07 14:17:59 UTC 2026","","e2e/example.spec.js","",""
"","123","It should return 400 when attempting a Get on an non-existent resource","chromium","Thu May 07 14:17:57 UTC 2026","passed","Thu May 07 14:17:57 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","28","Should validate the datas of Pikachu with success","webkit","Thu May 07 14:18:47 UTC 2026","passed","Thu May 07 14:18:47 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","701","Should show error message when API fails @mock","webkit","Thu May 07 14:19:06 UTC 2026","passed","Thu May 07 14:19:07 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","12","It should validate Resource not found returning 404","firefox","Thu May 07 14:18:12 UTC 2026","passed","Thu May 07 14:18:12 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","73","It should validate the Delete method (Sucess 200/204)","firefox","Thu May 07 14:18:12 UTC 2026","passed","Thu May 07 14:18:12 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","34","Should validate the datas of Pikachu with success","firefox","Thu May 07 14:18:13 UTC 2026","passed","Thu May 07 14:18:13 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","140","Should display mocked pokemon on fron-end","chromium","Thu May 07 14:18:10 UTC 2026","passed","Thu May 07 14:18:11 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","1320","has title","firefox","Thu May 07 14:18:13 UTC 2026","passed","Thu May 07 14:18:14 UTC 2026","","e2e/example.spec.js","",""
"","143","Should navigation in site of Playwright and search documentation","Mobile Safari","Thu May 07 14:19:20 UTC 2026","failed","Thu May 07 14:19:21 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","72","It should validate 404 error in case of an invalid payload (Theoretical Example)","firefox","Thu May 07 14:18:12 UTC 2026","passed","Thu May 07 14:18:13 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","20","It should validate Invalid user ID returning 404","Mobile Safari","Thu May 07 14:19:08 UTC 2026","passed","Thu May 07 14:19:08 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
