"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","It should validate Resource not found returning 404","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","17","It should return 404 when performing a POST(Sucess)","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","149","Should display mocked pokemon on fron-end","Mobile Safari","Wed May 20 17:56:45 UTC 2026","passed","Wed May 20 17:56:45 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","17","It should validate 404 error in case of an invalid payload (Theoretical Example)","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","16","It should validate the Delete method (Sucess 200/204)","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","113","Should show error message when API fails @mock","Mobile Safari","Wed May 20 17:56:45 UTC 2026","passed","Wed May 20 17:56:45 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","424","has title","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:32 UTC 2026","","e2e/example.spec.js","",""
"","466","Should display mocked pokemon on fron-end","webkit","Wed May 20 17:56:27 UTC 2026","passed","Wed May 20 17:56:28 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","153","It should return 400 when attempting a Get on an non-existent resource","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","54","It should validate Non-existent route returning 404","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","30","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","18","It should validate the Delete method (Sucess 200/204)","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","2820","get started link","webkit","Wed May 20 17:56:10 UTC 2026","passed","Wed May 20 17:56:13 UTC 2026","","e2e/example.spec.js","",""
"","25","It should validate Invalid user ID returning 404","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","466","Should check contract of PokeApi","webkit","Wed May 20 17:56:21 UTC 2026","failed","Wed May 20 17:56:21 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","67","It should return 404 when attempting a Get on an non-existent resource","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","4594","has title","webkit","Wed May 20 17:56:05 UTC 2026","passed","Wed May 20 17:56:09 UTC 2026","","e2e/example.spec.js","",""
"","17","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1271","has title","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:31 UTC 2026","","e2e/example.spec.js","",""
"","1182","Should navigation in site of Playwright and search documentation","firefox","Wed May 20 17:55:57 UTC 2026","failed","Wed May 20 17:55:59 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","521","get started link","Mobile Safari","Wed May 20 17:56:32 UTC 2026","passed","Wed May 20 17:56:32 UTC 2026","","e2e/example.spec.js","",""
"","15","It should return 404 when performing a POST(Sucess)","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","95","It should validate Non-existent route returning 404","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","49","Should validate the datas of Pikachu with success","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","145","It should return 400 when attempting a Get on an non-existent resource","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","115","Should show error message when API fails @mock","chromium","Wed May 20 17:55:28 UTC 2026","passed","Wed May 20 17:55:28 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","1116","Should display mocked pokemon on fron-end","firefox","Wed May 20 17:56:00 UTC 2026","passed","Wed May 20 17:56:02 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","18","It should validate Invalid user ID returning 404","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","1152","Should validate Charizard data across layers","firefox","Wed May 20 17:55:37 UTC 2026","failed","Wed May 20 17:55:39 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","17","It should return 404 when performing a POST(Sucess)","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","17","It should return 201 when performing a POST(Sucess)","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","20","It should return 201 when performing a POST(Sucess)","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","34","Should validate the datas of Pikachu with success","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","24","It should return 404 when attempting a Get on an non-existent resource","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","197","Should check contract of PokeApi","Mobile Safari","Wed May 20 17:56:39 UTC 2026","failed","Wed May 20 17:56:39 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","15","It should validate the Delete method (Sucess 200/204)","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","18","It should validate Resource not found returning 404","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","143","Should display mocked pokemon on fron-end","chromium","Wed May 20 17:55:27 UTC 2026","passed","Wed May 20 17:55:28 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","17","It should validate Resource not found returning 404","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","23","It should return 404 when attempting a Get on an non-existent resource","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","440","Should validate Charizard data across layers","webkit","Wed May 20 17:56:16 UTC 2026","failed","Wed May 20 17:56:16 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","60","It should validate Non-existent route returning 404","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","42","Should validate the datas of Pikachu with success","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","180","Should validate Charizard data across layers","chromium","Wed May 20 17:55:18 UTC 2026","failed","Wed May 20 17:55:18 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","17","It should validate Invalid user ID returning 404","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:04 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","220","It should return 400 when attempting a Get on an non-existent resource","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","163","It should return 400 when attempting a Get on an non-existent resource","webkit","Wed May 20 17:56:04 UTC 2026","passed","Wed May 20 17:56:05 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","437","has title","chromium","Wed May 20 17:55:14 UTC 2026","passed","Wed May 20 17:55:14 UTC 2026","","e2e/example.spec.js","",""
"","16","It should validate the Delete method (Sucess 200/204)","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","203","Should check contract of PokeApi","chromium","Wed May 20 17:55:22 UTC 2026","failed","Wed May 20 17:55:22 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","517","get started link","chromium","Wed May 20 17:55:15 UTC 2026","passed","Wed May 20 17:55:16 UTC 2026","","e2e/example.spec.js","",""
"","14","It should validate Invalid user ID returning 404","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","421","Should navigation in site of Playwright and search documentation","webkit","Wed May 20 17:56:26 UTC 2026","failed","Wed May 20 17:56:26 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","906","get started link","firefox","Wed May 20 17:55:31 UTC 2026","passed","Wed May 20 17:55:32 UTC 2026","","e2e/example.spec.js","",""
"","32","Should validate the datas of Pikachu with success","Mobile Safari","Wed May 20 17:56:31 UTC 2026","passed","Wed May 20 17:56:31 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","16","It should validate Resource not found returning 404","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","1139","Should check contract of PokeApi","firefox","Wed May 20 17:55:48 UTC 2026","failed","Wed May 20 17:55:49 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","27","It should validate 404 error in case of an invalid payload (Theoretical Example)","firefox","Wed May 20 17:55:29 UTC 2026","passed","Wed May 20 17:55:29 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","167","Should navigation in site of Playwright and search documentation","Mobile Safari","Wed May 20 17:56:43 UTC 2026","failed","Wed May 20 17:56:43 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","17","It should return 201 when performing a POST(Sucess)","chromium","Wed May 20 17:55:13 UTC 2026","passed","Wed May 20 17:55:13 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","155","Should navigation in site of Playwright and search documentation","chromium","Wed May 20 17:55:26 UTC 2026","failed","Wed May 20 17:55:26 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","161","Should validate Charizard data across layers","Mobile Safari","Wed May 20 17:56:35 UTC 2026","failed","Wed May 20 17:56:35 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","402","Should show error message when API fails @mock","firefox","Wed May 20 17:56:02 UTC 2026","passed","Wed May 20 17:56:02 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
