"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","It should validate the Delete method (Sucess 200/204)","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","611","Should check contract of PokeApi","chromium","Mon Apr 06 18:12:27 UTC 2026","passed","Mon Apr 06 18:12:28 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","23","It should validate Resource not found returning 404","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","499","Should check contract of PokeApi","Mobile Safari","Mon Apr 06 18:17:37 UTC 2026","passed","Mon Apr 06 18:17:37 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","26","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","26","It should return 201 when performing a POST(Sucess)","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","26","It should return 201 when performing a POST(Sucess)","chromium","Mon Apr 06 18:10:52 UTC 2026","passed","Mon Apr 06 18:10:52 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","92","It should validate Non-existent route returning 404","Mobile Safari","Mon Apr 06 18:16:01 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","23","It should return 404 when performing a POST(Sucess)","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","26","It should return 201 when performing a POST(Sucess)","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","158","It should return 400 when attempting a Get on an non-existent resource","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","30","It should validate Resource not found returning 404","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","24","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","Mon Apr 06 18:10:52 UTC 2026","passed","Mon Apr 06 18:10:52 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","546","get started link","chromium","Mon Apr 06 18:10:53 UTC 2026","passed","Mon Apr 06 18:10:54 UTC 2026","","example.spec.js","",""
"","52","Should validate the datas of Pikachu with success","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","1666","Should navigation in site of Playwright and search documentation","webkit","Mon Apr 06 18:15:59 UTC 2026","passed","Mon Apr 06 18:16:00 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","106","It should validate Non-existent route returning 404","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","366","has title","chromium","Mon Apr 06 18:10:52 UTC 2026","passed","Mon Apr 06 18:10:53 UTC 2026","","example.spec.js","",""
"","21","It should validate 404 error in case of an invalid payload (Theoretical Example)","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","31","It should validate Invalid user ID returning 404","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","36","It should validate Invalid user ID returning 404","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","435","Should navigation in site of Playwright and search documentation","chromium","Mon Apr 06 18:12:28 UTC 2026","passed","Mon Apr 06 18:12:28 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","26","It should validate the Delete method (Sucess 200/204)","chromium","Mon Apr 06 18:10:52 UTC 2026","passed","Mon Apr 06 18:10:52 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","24","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:02 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","566","get started link","Mobile Safari","Mon Apr 06 18:16:03 UTC 2026","passed","Mon Apr 06 18:16:03 UTC 2026","","example.spec.js","",""
"","34","It should validate Invalid user ID returning 404","firefox","Mon Apr 06 18:12:30 UTC 2026","passed","Mon Apr 06 18:12:30 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","1484","Should check contract of PokeApi","firefox","Mon Apr 06 18:14:10 UTC 2026","passed","Mon Apr 06 18:14:11 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","390","Should navigation in site of Playwright and search documentation","Mobile Safari","Mon Apr 06 18:17:38 UTC 2026","passed","Mon Apr 06 18:17:38 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","702","Should navigation in site of Playwright and search documentation","firefox","Mon Apr 06 18:14:11 UTC 2026","passed","Mon Apr 06 18:14:12 UTC 2026","Automation Full Stack","hybrid_test.spec.js","",""
"","30081","Should validate Charizard data across layers","chromium","Mon Apr 06 18:11:56 UTC 2026","broken","Mon Apr 06 18:12:26 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","30112","Should validate Charizard data across layers","firefox","Mon Apr 06 18:13:38 UTC 2026","broken","Mon Apr 06 18:14:08 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","23","It should return 404 when attempting a Get on an non-existent resource","firefox","Mon Apr 06 18:12:30 UTC 2026","passed","Mon Apr 06 18:12:30 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","25","It should return 404 when performing a POST(Sucess)","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","368","has title","Mobile Safari","Mon Apr 06 18:16:02 UTC 2026","passed","Mon Apr 06 18:16:03 UTC 2026","","example.spec.js","",""
"","26","It should return 201 when performing a POST(Sucess)","firefox","Mon Apr 06 18:12:30 UTC 2026","passed","Mon Apr 06 18:12:30 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
"","30079","Should validate Charizard data across layers","Mobile Safari","Mon Apr 06 18:17:06 UTC 2026","broken","Mon Apr 06 18:17:36 UTC 2026","Final Challenge: UI + API + environment Mocks","final_challenge.spec.js","",""
"","61","Should validate the datas of Pikachu with success","webkit","Mon Apr 06 18:14:14 UTC 2026","passed","Mon Apr 06 18:14:14 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","154","It should return 400 when attempting a Get on an non-existent resource","firefox","Mon Apr 06 18:12:30 UTC 2026","passed","Mon Apr 06 18:12:30 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","66","It should validate Resource not found returning 404","chromium","Mon Apr 06 18:10:52 UTC 2026","passed","Mon Apr 06 18:10:52 UTC 2026","DDT - Endpoint Testing","api_data_driven.spec.js","",""
"","151","It should return 400 when attempting a Get on an non-existent resource","chromium","Mon Apr 06 18:10:52 UTC 2026","passed","Mon Apr 06 18:10:52 UTC 2026","PokeApi - Validaçao de Pokémon","api_pokemon.spec.js","",""
"","24","It should validate the Delete method (Sucess 200/204)","firefox","Mon Apr 06 18:12:30 UTC 2026","passed","Mon Apr 06 18:12:30 UTC 2026","Batery the tests of error and Http verbs","api_errors.spec.js","",""
