"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","46","It should return 404 when performing a POST(Sucess)","firefox","Tue Apr 21 16:12:05 UTC 2026","passed","Tue Apr 21 16:12:06 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","551","get started link","Mobile Safari","Tue Apr 21 16:13:14 UTC 2026","passed","Tue Apr 21 16:13:15 UTC 2026","","e2e/example.spec.js","",""
"","540","get started link","chromium","Tue Apr 21 16:11:51 UTC 2026","passed","Tue Apr 21 16:11:52 UTC 2026","","e2e/example.spec.js","",""
"","170","It should validate Non-existent route returning 404","chromium","Tue Apr 21 16:11:48 UTC 2026","passed","Tue Apr 21 16:11:48 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","42","It should validate 404 error in case of an invalid payload (Theoretical Example)","chromium","Tue Apr 21 16:11:48 UTC 2026","passed","Tue Apr 21 16:11:48 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","540","Should display mocked pokemon on fron-end","webkit","Tue Apr 21 16:13:10 UTC 2026","passed","Tue Apr 21 16:13:10 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","44","It should validate the Delete method (Sucess 200/204)","chromium","Tue Apr 21 16:11:48 UTC 2026","passed","Tue Apr 21 16:11:48 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","46","It should validate 404 error in case of an invalid payload (Theoretical Example)","Mobile Safari","Tue Apr 21 16:13:13 UTC 2026","passed","Tue Apr 21 16:13:13 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","1327","has title","firefox","Tue Apr 21 16:12:06 UTC 2026","passed","Tue Apr 21 16:12:07 UTC 2026","","e2e/example.spec.js","",""
"","1090","Should navigation in site of Playwright and search documentation","firefox","Tue Apr 21 16:12:33 UTC 2026","failed","Tue Apr 21 16:12:34 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","3161","get started link","webkit","Tue Apr 21 16:12:52 UTC 2026","passed","Tue Apr 21 16:12:55 UTC 2026","","e2e/example.spec.js","",""
"","48","It should validate the Delete method (Sucess 200/204)","Mobile Safari","Tue Apr 21 16:13:13 UTC 2026","passed","Tue Apr 21 16:13:13 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","252","Should check contract of PokeApi","chromium","Tue Apr 21 16:11:59 UTC 2026","failed","Tue Apr 21 16:11:59 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","46","It should return 404 when attempting a Get on an non-existent resource","Mobile Safari","Tue Apr 21 16:13:13 UTC 2026","passed","Tue Apr 21 16:13:13 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","40","It should validate Invalid user ID returning 404","firefox","Tue Apr 21 16:12:05 UTC 2026","passed","Tue Apr 21 16:12:05 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","45","It should validate the Delete method (Sucess 200/204)","webkit","Tue Apr 21 16:12:39 UTC 2026","passed","Tue Apr 21 16:12:39 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
"","169","It should return 400 when attempting a Get on an non-existent resource","Mobile Safari","Tue Apr 21 16:13:13 UTC 2026","passed","Tue Apr 21 16:13:14 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","158","Should validate Charizard data across layers","Mobile Safari","Tue Apr 21 16:13:17 UTC 2026","failed","Tue Apr 21 16:13:18 UTC 2026","Final Challenge: UI + API + environment Mocks @mock","e2e/final_challenge.spec.js","",""
"","29","It should validate Resource not found returning 404","webkit","Tue Apr 21 16:12:39 UTC 2026","passed","Tue Apr 21 16:12:39 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","10735","has title","webkit","Tue Apr 21 16:12:40 UTC 2026","passed","Tue Apr 21 16:12:51 UTC 2026","","e2e/example.spec.js","",""
"","37","It should validate Resource not found returning 404","Mobile Safari","Tue Apr 21 16:13:13 UTC 2026","passed","Tue Apr 21 16:13:13 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","172","It should return 400 when attempting a Get on an non-existent resource","webkit","Tue Apr 21 16:12:40 UTC 2026","passed","Tue Apr 21 16:12:40 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","113","Should show error message when API fails @mock","chromium","Tue Apr 21 16:12:04 UTC 2026","passed","Tue Apr 21 16:12:04 UTC 2026","Tests using mocks @mock","e2e/using_mocks.spec.js","",""
"","28","It should validate Resource not found returning 404","firefox","Tue Apr 21 16:12:05 UTC 2026","passed","Tue Apr 21 16:12:05 UTC 2026","DDT - Endpoint Testing","api/api_data_driven.spec.js","",""
"","960","get started link","firefox","Tue Apr 21 16:12:08 UTC 2026","passed","Tue Apr 21 16:12:09 UTC 2026","","e2e/example.spec.js","",""
"","1200","Should check contract of PokeApi","firefox","Tue Apr 21 16:12:23 UTC 2026","failed","Tue Apr 21 16:12:25 UTC 2026","Automation Full Stack","e2e/hybrid_test.spec.js","",""
"","221","It should return 400 when attempting a Get on an non-existent resource","chromium","Tue Apr 21 16:11:48 UTC 2026","passed","Tue Apr 21 16:11:49 UTC 2026","PokeApi - Validaçao de Pokémon","api/api_pokemon.spec.js","",""
"","41","It should validate 404 error in case of an invalid payload (Theoretical Example)","firefox","Tue Apr 21 16:12:06 UTC 2026","passed","Tue Apr 21 16:12:06 UTC 2026","Batery the tests of error and Http verbs","api/api_errors.spec.js","",""
